Timestamp,SSID,BSSID,RSSI,indice_agrupamento,nome_arquivo
2023-12-14 16:33:19,VISITANTE_CETELI,36:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:33:19,CETELI_P&D,56:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:33:19,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:33:19,CETELI_WIFI,26:A4:3C:D1:03:C8,-84,1,coletac1.csv
2023-12-14 16:33:19,CETELI_WIFI,26:A4:3C:D1:00:24,-84,1,coletac1.csv
2023-12-14 16:33:19,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-85,1,coletac1.csv
2023-12-14 16:33:19,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-87,1,coletac1.csv
2023-12-14 16:33:19,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-87,1,coletac1.csv
2023-12-14 16:33:19,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-88,1,coletac1.csv
2023-12-14 16:33:19,CETELI_P&D,56:A4:3C:D1:03:C8,-88,1,coletac1.csv
2023-12-14 16:33:19,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-91,1,coletac1.csv
2023-12-14 16:33:19,CETELI_P&D,56:A4:3C:D1:AC:68,-91,1,coletac1.csv
2023-12-14 16:33:19,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-92,1,coletac1.csv
2023-12-14 16:33:31,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-75,1,coletac1.csv
2023-12-14 16:33:31,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-76,1,coletac1.csv
2023-12-14 16:33:31,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-79,1,coletac1.csv
2023-12-14 16:33:31,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-80,1,coletac1.csv
2023-12-14 16:33:31,VISITANTE_CETELI,36:A4:3C:D1:00:24,-82,1,coletac1.csv
2023-12-14 16:33:31,CETELI_P&D,56:A4:3C:D1:00:24,-82,1,coletac1.csv
2023-12-14 16:33:31,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-82,1,coletac1.csv
2023-12-14 16:33:31,CETELI_WIFI,26:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:33:31,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:33:31,CETELI_WIFI,26:A4:3C:D1:03:C8,-84,1,coletac1.csv
