Timestamp,SSID,BSSID,RSSI
2023-12-14 16:25:14,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-70
2023-12-14 16:25:14,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-70
2023-12-14 16:25:14,dlink-EAD4,10:BE:F5:23:EA:D4,-73
2023-12-14 16:25:14,CETELI_WIFI,26:A4:3C:D1:00:24,-76
2023-12-14 16:25:14,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-77
2023-12-14 16:25:14,TPV,50:D4:F7:2D:16:6C,-78
2023-12-14 16:25:14,VISITANTE_CETELI,36:A4:3C:D1:00:24,-78
2023-12-14 16:25:14,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-78
2023-12-14 16:25:14,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-82
2023-12-14 16:25:14,CETELI_P&D,56:A4:3C:D1:00:24,-82
2023-12-14 16:25:14,CETELI_WIFI,26:A4:3C:D1:03:C8,-83
2023-12-14 16:25:14,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-83
2023-12-14 16:25:14,CETELI_WIFI,26:A4:3C:D1:AC:68,-84
2023-12-14 16:25:14,CETELI_P&D,56:A4:3C:D1:03:C8,-84
2023-12-14 16:25:14,CETELI_TREINAMENTOS,FE:92:BF:C7:A2:2F,-84
2023-12-14 16:25:14,CETELI_P&D,02:92:BF:C7:A2:2F,-84
2023-12-14 16:25:14,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-84
2023-12-14 16:25:14,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-85
2023-12-14 16:25:14,CETELI_P&D,56:A4:3C:D1:AC:68,-85
2023-12-14 16:25:14,CETELI_WIFI,F4:92:BF:C7:A2:2F,-85
2023-12-14 16:25:14,eduroam,74:67:F7:14:7A:20,-85
2023-12-14 16:25:14,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-86
2023-12-14 16:25:14,VISITANTE_CETELI,FA:92:BF:C7:A2:2F,-87
2023-12-14 16:25:14,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-88
2023-12-14 16:25:14,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-91
2023-12-14 16:25:27,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-66
2023-12-14 16:25:27,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-70
2023-12-14 16:25:27,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-71
2023-12-14 16:25:27,CETELI_WIFI,26:A4:3C:D1:00:24,-75
2023-12-14 16:25:27,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-76
2023-12-14 16:25:27,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-77
2023-12-14 16:25:27,TPV,50:D4:F7:2D:16:6C,-77
2023-12-14 16:25:27,CETELI_WIFI,26:A4:3C:D1:AC:68,-79
2023-12-14 16:25:27,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-79
2023-12-14 16:25:27,CETELI_P&D,56:A4:3C:D1:AC:68,-79
2023-12-14 16:25:27,VISITANTE_CETELI,36:A4:3C:D1:00:24,-80
2023-12-14 16:25:27,CETELI_P&D,56:A4:3C:D1:00:24,-81
2023-12-14 16:25:27,CETELI_WIFI,26:A4:3C:D1:03:C8,-82
2023-12-14 16:25:27,dlink-EAD4,10:BE:F5:23:EA:D4,-82
2023-12-14 16:25:27,VISITANTE_CETELI,FA:92:BF:C7:A2:2F,-83
2023-12-14 16:25:27,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-84
2023-12-14 16:25:27,CETELI_P&D,02:92:BF:C7:A2:2F,-84
2023-12-14 16:25:27,wifi-zone-ufam-1,74:67:F7:14:7A:21,-84
2023-12-14 16:25:27,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-84
2023-12-14 16:25:27,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-85
2023-12-14 16:25:27,CETELI_WIFI,F4:92:BF:C7:A2:2F,-85
2023-12-14 16:25:27,CETELI_TREINAMENTOS,FE:92:BF:C7:A2:2F,-85
2023-12-14 16:25:27,CETELI_P&D,56:A4:3C:D1:03:C8,-86
2023-12-14 16:25:27,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-89
2023-12-14 16:25:27,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-89
2023-12-14 16:25:39,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-68
2023-12-14 16:25:39,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-71
2023-12-14 16:25:39,TPV,50:D4:F7:2D:16:6C,-72
