Timestamp,SSID,BSSID,RSSI
2023-12-14 16:18:26,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-59
2023-12-14 16:18:26,CETELI_WIFI,26:A4:3C:D1:00:24,-63
2023-12-14 16:18:26,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-63
2023-12-14 16:18:26,CETELI_P&D,56:A4:3C:D1:00:24,-63
2023-12-14 16:18:26,VISITANTE_CETELI,36:A4:3C:D1:00:24,-64
2023-12-14 16:18:26,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-65
2023-12-14 16:18:26,dlink-EAD4,10:BE:F5:23:EA:D4,-73
2023-12-14 16:18:26,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-74
2023-12-14 16:18:26,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-75
2023-12-14 16:18:26,CETELI_P&D,56:A4:3C:D1:03:C8,-75
2023-12-14 16:18:26,CETELI_WIFI,26:A4:3C:D1:03:C8,-80
2023-12-14 16:18:26,CETELI_P&D,56:A4:3C:D1:AC:68,-81
2023-12-14 16:18:26,CETELI_WIFI,26:A4:3C:D1:AC:68,-82
2023-12-14 16:18:26,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-82
2023-12-14 16:18:26,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-82
2023-12-14 16:18:26,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-82
2023-12-14 16:18:26,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-84
2023-12-14 16:18:26,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-85
2023-12-14 16:18:38,CETELI_WIFI,26:A4:3C:D1:00:24,-62
2023-12-14 16:18:39,VISITANTE_CETELI,36:A4:3C:D1:00:24,-62
2023-12-14 16:18:39,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-62
2023-12-14 16:18:39,CETELI_P&D,56:A4:3C:D1:00:24,-62
2023-12-14 16:18:39,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-66
2023-12-14 16:18:39,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-66
2023-12-14 16:18:39,dlink-EAD4,10:BE:F5:23:EA:D4,-74
2023-12-14 16:18:39,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-75
2023-12-14 16:18:39,CETELI_WIFI,26:A4:3C:D1:03:C8,-75
2023-12-14 16:18:39,CETELI_P&D,56:A4:3C:D1:03:C8,-76
2023-12-14 16:18:39,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-76
2023-12-14 16:18:39,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-79
2023-12-14 16:18:39,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-80
2023-12-14 16:18:39,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-82
2023-12-14 16:18:39,CETELI_WIFI,26:A4:3C:D1:AC:68,-85
2023-12-14 16:18:39,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-86
2023-12-14 16:18:39,CETELI_P&D,56:A4:3C:D1:AC:68,-86
2023-12-14 16:18:39,CETELI_WIFI,F4:92:BF:C7:A2:2F,-88
2023-12-14 16:18:39,CETELI_TREINAMENTOS,FE:92:BF:C7:A2:2F,-89
2023-12-14 16:18:39,VISITANTE_CETELI,FA:92:BF:C7:A2:2F,-90
2023-12-14 16:18:39,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-90
2023-12-14 16:18:39,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-90
2023-12-14 16:18:51,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-59
2023-12-14 16:18:51,CETELI_WIFI,26:A4:3C:D1:00:24,-60
2023-12-14 16:18:51,VISITANTE_CETELI,36:A4:3C:D1:00:24,-60
2023-12-14 16:18:51,CETELI_P&D,56:A4:3C:D1:00:24,-60
2023-12-14 16:18:51,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-61
2023-12-14 16:18:51,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-63
2023-12-14 16:18:51,dlink-EAD4,10:BE:F5:23:EA:D4,-70
2023-12-14 16:18:51,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-71
2023-12-14 16:18:51,CETELI_WIFI,26:A4:3C:D1:03:C8,-75
2023-12-14 16:18:51,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-75
2023-12-14 16:18:51,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-76
2023-12-14 16:18:51,CETELI_P&D,56:A4:3C:D1:03:C8,-79
2023-12-14 16:18:51,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-80
2023-12-14 16:18:51,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-81
2023-12-14 16:18:51,CETELI_P&D,56:A4:3C:D1:AC:68,-83
2023-12-14 16:18:51,CETELI_WIFI,26:A4:3C:D1:AC:68,-84
2023-12-14 16:18:51,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-84
2023-12-14 16:18:51,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-88
2023-12-14 16:18:51,VISITANTE_CETELI,FA:92:BF:C7:A2:2F,-88
2023-12-14 16:18:51,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-90
2023-12-14 16:18:51,CETELI_WIFI,F4:92:BF:C7:A2:2F,-90
2023-12-14 16:19:03,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-58
2023-12-14 16:19:03,CETELI_WIFI,26:A4:3C:D1:00:24,-61
2023-12-14 16:19:03,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-61
2023-12-14 16:19:03,CETELI_P&D,56:A4:3C:D1:00:24,-61
2023-12-14 16:19:03,VISITANTE_CETELI,36:A4:3C:D1:00:24,-64
2023-12-14 16:19:03,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-74
2023-12-14 16:19:03,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-74
2023-12-14 16:19:03,CETELI_WIFI,26:A4:3C:D1:03:C8,-76
2023-12-14 16:19:03,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-77
2023-12-14 16:19:03,CETELI_P&D,56:A4:3C:D1:03:C8,-77
2023-12-14 16:19:03,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-79
2023-12-14 16:19:03,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-80
2023-12-14 16:19:03,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-80
2023-12-14 16:19:03,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-82
2023-12-14 16:19:03,CETELI_P&D,56:A4:3C:D1:AC:68,-82
2023-12-14 16:19:03,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-82
2023-12-14 16:19:03,CETELI_WIFI,26:A4:3C:D1:AC:68,-83
2023-12-14 16:19:03,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-83
2023-12-14 16:19:03,CETELI_WIFI,F4:92:BF:C7:A2:2F,-90
2023-12-14 16:19:04,CETELI_TREINAMENTOS,FE:92:BF:C7:A2:2F,-90
2023-12-14 16:19:04,CETELI_P&D,02:92:BF:C7:A2:2F,-91
2023-12-14 16:19:04,VISITANTE_CETELI,FA:92:BF:C7:A2:2F,-91
2023-12-14 16:19:16,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-60
2023-12-14 16:19:16,VISITANTE_CETELI,36:A4:3C:D1:00:24,-61
2023-12-14 16:19:16,CETELI_WIFI,26:A4:3C:D1:00:24,-62
2023-12-14 16:19:16,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-63
2023-12-14 16:19:16,CETELI_P&D,56:A4:3C:D1:00:24,-63
2023-12-14 16:19:16,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-65
2023-12-14 16:19:16,dlink-EAD4,10:BE:F5:23:EA:D4,-70
2023-12-14 16:19:16,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-74
2023-12-14 16:19:16,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-76
2023-12-14 16:19:16,CETELI_WIFI,26:A4:3C:D1:03:C8,-77
2023-12-14 16:19:16,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-77
2023-12-14 16:19:16,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-78
2023-12-14 16:19:16,CETELI_P&D,56:A4:3C:D1:03:C8,-79
2023-12-14 16:19:16,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-84
2023-12-14 16:19:16,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-85
2023-12-14 16:19:16,CETELI_TREINAMENTOS,FE:92:BF:C7:A2:2F,-87
2023-12-14 16:19:16,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-87
2023-12-14 16:19:16,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-88
2023-12-14 16:19:16,CETELI_WIFI,F4:92:BF:C7:A2:2F,-88
2023-12-14 16:19:16,CETELI_WIFI,26:A4:3C:D1:AC:68,-89
2023-12-14 16:19:16,CETELI_P&D,56:A4:3C:D1:AC:68,-89
2023-12-14 16:19:16,CETELI_P&D,02:92:BF:C7:A2:2F,-89
2023-12-14 16:19:16,VISITANTE_CETELI,FA:92:BF:C7:A2:2F,-91
2023-12-14 16:19:28,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-62
2023-12-14 16:19:28,CETELI_WIFI,26:A4:3C:D1:00:24,-62
