Timestamp,SSID,BSSID,RSSI
2023-12-14 16:44:10,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-69
2023-12-14 16:44:10,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-71
2023-12-14 16:44:10,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-75
2023-12-14 16:44:11,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-80
2023-12-14 16:44:11,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-81
2023-12-14 16:44:11,CETELI_P&D,56:A4:3C:D1:03:C8,-81
2023-12-14 16:44:11,CETELI_P&D,56:A4:3C:D1:00:24,-81
2023-12-14 16:44:11,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-82
2023-12-14 16:44:11,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-83
2023-12-14 16:44:11,CETELI_P&D,56:A4:3C:D1:AC:68,-83
2023-12-14 16:44:11,TPV,50:D4:F7:2D:16:6C,-83
2023-12-14 16:44:11,CETELI_WIFI,26:A4:3C:D1:AC:68,-84
2023-12-14 16:44:11,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-84
2023-12-14 16:44:11,CETELI_WIFI,26:A4:3C:D1:03:C8,-86
2023-12-14 16:44:11,CETELI_WIFI,26:A4:3C:D1:00:24,-86
2023-12-14 16:44:11,VISITANTE_CETELI,36:A4:3C:D1:00:24,-86
2023-12-14 16:44:11,dlink-EAD4,10:BE:F5:23:EA:D4,-86
2023-12-14 16:44:11,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-87
2023-12-14 16:44:11,wifi-zone-ufam-1,74:67:F7:14:7A:21,-90
2023-12-14 16:44:11,eduroam,74:67:F7:14:7A:20,-91
2023-12-14 16:44:23,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-71
2023-12-14 16:44:23,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-77
2023-12-14 16:44:23,CETELI_P&D,56:A4:3C:D1:00:24,-78
2023-12-14 16:44:23,CETELI_WIFI,26:A4:3C:D1:00:24,-78
2023-12-14 16:44:23,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-79
2023-12-14 16:44:23,VISITANTE_CETELI,36:A4:3C:D1:00:24,-79
2023-12-14 16:44:23,CETELI_WIFI,26:A4:3C:D1:AC:68,-80
2023-12-14 16:44:23,CETELI_P&D,56:A4:3C:D1:AC:68,-80
2023-12-14 16:44:23,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-81
2023-12-14 16:44:23,dlink-EAD4,10:BE:F5:23:EA:D4,-81
2023-12-14 16:44:23,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-82
2023-12-14 16:44:24,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-84
2023-12-14 16:44:24,CETELI_P&D,56:A4:3C:D1:03:C8,-84
2023-12-14 16:44:24,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-84
2023-12-14 16:44:24,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-86
2023-12-14 16:44:24,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-87
2023-12-14 16:44:24,TPV,50:D4:F7:2D:16:6C,-90
2023-12-14 16:44:24,CETELI_WIFI,26:A4:3C:D1:03:C8,-91
2023-12-14 16:44:36,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-72
2023-12-14 16:44:36,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-72
2023-12-14 16:44:36,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-74
2023-12-14 16:44:36,dlink-EAD4,10:BE:F5:23:EA:D4,-77
2023-12-14 16:44:36,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-79
2023-12-14 16:44:36,CETELI_WIFI,26:A4:3C:D1:AC:68,-80
2023-12-14 16:44:36,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-80
2023-12-14 16:44:36,CETELI_P&D,56:A4:3C:D1:AC:68,-81
2023-12-14 16:44:36,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-82
2023-12-14 16:44:36,CETELI_WIFI,26:A4:3C:D1:00:24,-82
2023-12-14 16:44:36,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-83
2023-12-14 16:44:36,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-83
2023-12-14 16:44:36,VISITANTE_CETELI,36:A4:3C:D1:00:24,-83
2023-12-14 16:44:36,CETELI_P&D,56:A4:3C:D1:00:24,-84
2023-12-14 16:44:36,CETELI_WIFI,26:A4:3C:D1:03:C8,-85
