Timestamp,SSID,BSSID,RSSI
2023-12-14 16:16:20,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-62
2023-12-14 16:16:20,VISITANTE_CETELI,36:A4:3C:D1:00:24,-69
2023-12-14 16:16:20,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-69
2023-12-14 16:16:20,CETELI_P&D,56:A4:3C:D1:00:24,-69
2023-12-14 16:16:20,CETELI_WIFI,26:A4:3C:D1:00:24,-70
2023-12-14 16:16:20,dlink-EAD4,10:BE:F5:23:EA:D4,-71
2023-12-14 16:16:20,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-74
2023-12-14 16:16:20,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-75
2023-12-14 16:16:20,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-76
2023-12-14 16:16:20,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-79
2023-12-14 16:16:20,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-79
2023-12-14 16:16:20,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-81
2023-12-14 16:16:20,CETELI_WIFI,26:A4:3C:D1:03:C8,-82
2023-12-14 16:16:20,CETELI_P&D,56:A4:3C:D1:03:C8,-82
2023-12-14 16:16:20,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-83
2023-12-14 16:16:20,CETELI_WIFI,26:A4:3C:D1:AC:68,-86
2023-12-14 16:16:20,CETELI_P&D,56:A4:3C:D1:AC:68,-87
2023-12-14 16:16:20,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-88
2023-12-14 16:16:20,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-89
2023-12-14 16:16:20,TPV,50:D4:F7:2D:16:6C,-90
2023-12-14 16:16:32,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-61
2023-12-14 16:16:32,dlink-EAD4,10:BE:F5:23:EA:D4,-72
2023-12-14 16:16:32,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-72
2023-12-14 16:16:32,CETELI_WIFI,26:A4:3C:D1:00:24,-73
2023-12-14 16:16:32,VISITANTE_CETELI,36:A4:3C:D1:00:24,-73
2023-12-14 16:16:32,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-73
2023-12-14 16:16:32,CETELI_P&D,56:A4:3C:D1:00:24,-73
2023-12-14 16:16:32,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-73
2023-12-14 16:16:32,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-75
2023-12-14 16:16:32,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-78
2023-12-14 16:16:32,CETELI_WIFI,26:A4:3C:D1:03:C8,-79
2023-12-14 16:16:32,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-79
2023-12-14 16:16:32,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-80
2023-12-14 16:16:32,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-81
